7.184618883284683744e-07,-1.333317673488900694e-08,-3.387155270967376081e-09,-1.616254497205051448e-08,1.643222176606365183e-07,6.001751353771683917e-08,-1.431026186626074661e-08,2.679705985431665036e-08,-2.566945579670681065e-09,5.394345371503235598e-08,7.356819761615941417e-08,5.120974946805766281e-07,-3.314294935263475285e-08,-1.569741473177011644e-07,-2.459527887734592989e-07,7.296166904051243989e-08,-1.053538117613519987e-07,2.624202710671867053e-06
-1.333317673488901356e-08,5.061570446093992814e-07,3.029231523991676307e-09,-3.354031529809316753e-08,-1.177204280699738041e-07,-5.314918615401026486e-08,-6.940158893747206723e-09,-2.203434416658954178e-09,-2.521961008454523202e-08,-5.993859893874288775e-08,5.863189161549406932e-08,-5.706306908171245282e-08,3.461163425464506504e-07,4.115293010350628613e-07,1.945982934561057592e-07,4.272377087883531021e-07,4.320097491779218295e-08,-4.756718798989064624e-06
-3.387155270967376081e-09,3.029231523991677961e-09,4.333430881083567092e-07,2.835002628123246224e-07,-1.115460576083395061e-07,-9.731806989948858311e-08,1.775115788387416720e-07,-2.559352015160037527e-08,-2.526232093330710024e-09,-1.950762002523976172e-08,-1.535911725188119457e-07,-1.509619495592488637e-08,7.256442410074137717e-09,1.931522302652468275e-07,1.773115564982319925e-06,1.010138011594188956e-06,-2.053857936685735613e-07,-3.268028801615971319e-06
-1.616254497205050786e-08,-3.354031529809318738e-08,2.835002628123246753e-07,3.820675550565312477e-06,2.748409512516497406e-06,9.121915043828336075e-07,2.042829148356026598e-06,-4.442399516654642026e-08,-2.427759254945462566e-08,-2.784686639679128061e-07,-6.828992869004817697e-08,1.651283285934659914e-08,-3.851715160550881319e-08,-2.200999639660963356e-06,-8.804886108843041491e-07,1.183739258194553322e-07,-4.989023667393937014e-07,1.172989718017413200e-04
1.643222176606365183e-07,-1.177204280699738041e-07,-1.115460576083395194e-07,2.748409512516496982e-06,1.056295802149481335e-05,3.953073188207439260e-06,8.531566327015456777e-07,-1.247005234672328660e-07,5.691829562128830912e-08,-9.677819565367832571e-07,-3.503658182857625032e-07,1.175710371676463388e-07,-1.122090664542594123e-07,4.385113003253005781e-06,-5.108266326036864464e-06,3.989360474701260121e-06,-2.838130064940919969e-06,3.362721361284217217e-04
6.001751353771683917e-08,-5.314918615401026486e-08,-9.731806989948858311e-08,9.121915043828333957e-07,3.953073188207439260e-06,1.604857711555832437e-06,2.594089327024367554e-07,-5.082863732481091513e-08,7.622639192819773472e-09,-3.384365941261144555e-07,-6.699146019816765457e-08,4.704427838830834169e-08,-4.780984577188936185e-08,1.425148866786702962e-06,-2.083736130849249672e-06,2.605039222315306555e-06,-1.027393871999730545e-06,1.149326530372190983e-04
-1.431026186626075322e-08,-6.940158893747205069e-09,1.775115788387416720e-07,2.042829148356026598e-06,8.531566327015456777e-07,2.594089327024367554e-07,1.200448207252321838e-06,-1.129545418221891605e-08,-1.549668948857154198e-08,-7.889442465005210786e-08,1.410007036978457599e-08,8.313308719779404366e-09,-1.238581611293879899e-08,-1.930022537936412775e-06,-9.891081844814294374e-08,1.272356069820833663e-07,-1.033279335291091285e-07,4.139565836790652366e-05
2.679705985431663712e-08,-2.203434416658954178e-09,-2.559352015160037858e-08,-4.442399516654641364e-08,-1.247005234672328660e-07,-5.082863732481091513e-08,-1.129545418221891770e-08,3.582367936260787621e-07,6.175320237589752741e-08,1.074183283790218211e-07,3.082264801752292569e-08,-9.356206370794642281e-09,1.707058483614615855e-09,-3.244457576818900943e-07,1.667317325221484519e-07,-1.121597057097684713e-06,3.105228749569449485e-08,-7.750007698410768726e-06
-2.566945579670677756e-09,-2.521961008454522872e-08,-2.526232093330705061e-09,-2.427759254945462566e-08,5.691829562128832235e-08,7.622639192819773472e-09,-1.549668948857154198e-08,6.175320237589752741e-08,3.326172496405626277e-07,4.605716907093754458e-08,-1.134730844096703569e-07,1.686360744426397835e-08,-2.129659077840665589e-09,4.439506475652198639e-07,-1.154939760000795655e-08,-5.130769694371075432e-07,-4.511910631079882406e-08,2.010165886829110695e-07
5.394345371503235598e-08,-5.993859893874288775e-08,-1.950762002523975179e-08,-2.784686639679128061e-07,-9.677819565367832571e-07,-3.384365941261144555e-07,-7.889442465005210786e-08,1.074183283790218343e-07,4.605716907093753135e-08,2.726914403717555850e-06,-1.183892855112296904e-07,7.054555068719837011e-08,-3.734525911618823174e-08,-1.627563102077658177e-06,9.250597598634907170e-08,-1.534128012730623967e-06,-7.075979705699168324e-08,-4.458347545808437871e-05
7.356819761615938770e-08,5.863189161549406932e-08,-1.535911725188119193e-07,-6.828992869004816373e-08,-3.503658182857623974e-07,-6.699146019816765457e-08,1.410007036978456607e-08,3.082264801752291907e-08,-1.134730844096703305e-07,-1.183892855112296507e-07,2.772620897537379545e-06,3.483924747980932490e-08,3.242789226718444942e-08,2.345310380369139636e-07,-2.376254341828508215e-06,-6.981187541035271068e-07,2.689581918991526216e-08,-2.358383346944565242e-05
5.120974946805766281e-07,-5.706306908171245282e-08,-1.509619495592487975e-08,1.651283285934659252e-08,1.175710371676463653e-07,4.704427838830834169e-08,8.313308719779419255e-09,-9.356206370794647244e-09,1.686360744426397504e-08,7.054555068719837011e-08,3.483924747980933152e-08,5.113469622312797793e-07,-3.971141730349776933e-08,-3.224133026756365718e-07,-2.171028364766222060e-07,2.479744568737364887e-07,-5.771479028099571268e-08,2.082849050346973535e-06
-3.314294935263475946e-08,3.461163425464506504e-07,7.256442410074137717e-09,-3.851715160550882642e-08,-1.122090664542594388e-07,-4.780984577188936847e-08,-1.238581611293878741e-08,1.707058483614611719e-09,-2.129659077840667657e-09,-3.734525911618823174e-08,3.242789226718444942e-08,-3.971141730349776933e-08,3.549860910784920938e-07,4.859915916715544820e-07,1.214988278256590529e-07,2.929268291328181558e-07,-1.500664485447299911e-08,-6.937916366087698790e-06
-1.569741473177011115e-07,4.115293010350627554e-07,1.931522302652468010e-07,-2.200999639660963356e-06,4.385113003253006628e-06,1.425148866786702962e-06,-1.930022537936412775e-06,-3.244457576818900414e-07,4.439506475652198639e-07,-1.627563102077657966e-06,2.345310380369139636e-07,-3.224133026756365188e-07,4.859915916715544820e-07,3.536938723867156858e-05,-7.130630002588387368e-06,2.447766159272112879e-07,-1.164383496501963031e-06,1.350444655545039003e-04
-2.459527887734592989e-07,1.945982934561057063e-07,1.773115564982319713e-06,-8.804886108843040433e-07,-5.108266326036864464e-06,-2.083736130849249672e-06,-9.891081844814291727e-08,1.667317325221484519e-07,-1.154939760000794497e-08,9.250597598634921728e-08,-2.376254341828508215e-06,-2.171028364766222325e-07,1.214988278256590529e-07,-7.130630002588387368e-06,2.986280588583726988e-05,-6.484211291021387672e-06,1.259757580330966539e-06,-1.593370941051439342e-04
7.296166904051249283e-08,4.272377087883532080e-07,1.010138011594189380e-06,1.183739258194554249e-07,3.989360474701260121e-06,2.605039222315307402e-06,1.272356069820837104e-07,-1.121597057097684925e-06,-5.130769694371076491e-07,-1.534128012730624390e-06,-6.981187541035271068e-07,2.479744568737364887e-07,2.929268291328181558e-07,2.447766159272114996e-07,-6.484211291021387672e-06,2.687969697744629015e-04,-7.323960641151059373e-06,4.840248329416406816e-04
-1.053538117613519855e-07,4.320097491779218956e-08,-2.053857936685735348e-07,-4.989023667393937014e-07,-2.838130064940919969e-06,-1.027393871999730545e-06,-1.033279335291091285e-07,3.105228749569449485e-08,-4.511910631079882406e-08,-7.075979705699168324e-08,2.689581918991525554e-08,-5.771479028099571929e-08,-1.500664485447299249e-08,-1.164383496501963031e-06,1.259757580330966327e-06,-7.323960641151059373e-06,2.687820913257208615e-06,-4.434448661075420818e-05
2.624202710671866630e-06,-4.756718798989066318e-06,-3.268028801615971319e-06,1.172989718017413064e-04,3.362721361284217217e-04,1.149326530372191119e-04,4.139565836790652366e-05,-7.750007698410768726e-06,2.010165886829111754e-07,-4.458347545808437194e-05,-2.358383346944565242e-05,2.082849050346973535e-06,-6.937916366087698790e-06,1.350444655545039274e-04,-1.593370941051439071e-04,4.840248329416406816e-04,-4.434448661075420818e-05,1.640055392907236592e-02
