7.315603537117492695e-07,1.554922282372305758e-08,4.367958786184283422e-10,2.834045143040987838e-08,1.567562138687179264e-07,5.321537008244844261e-08,3.007205318788416311e-08,1.319881807955907949e-08,5.529629489953544776e-09,6.335331738115460567e-08,-4.125772064634312290e-08,4.977622829278770519e-07,1.321743136387175719e-08,-2.786790499657254996e-07,-3.703011876821060157e-08
1.554922282372305758e-08,5.615852020004893210e-07,-8.941254390191894970e-09,-2.353179707510433689e-08,2.523566558952185608e-08,1.836673902526957475e-08,-7.693659455723228654e-09,-1.742362516345510828e-08,-2.095994249606618985e-09,1.012117882112735671e-07,-4.866834215231872472e-08,-2.085740680495692289e-08,3.882981483726704703e-07,-1.710535331683387367e-07,1.317908898676356338e-07
4.367958786184231723e-10,-8.941254390191894970e-09,4.579902644417625609e-07,9.023461791768906150e-08,-4.351875480183029729e-07,-1.880149796811532803e-07,9.312184161177969460e-08,1.372387384747532532e-08,1.194396688476588942e-08,6.119650801133466799e-08,-1.301156279986190178e-07,-1.486053005226975360e-08,-3.649348850566100556e-09,2.566186955988298558e-07,1.887306799118320033e-06
2.834045143040987838e-08,-2.353179707510435012e-08,9.023461791768907473e-08,3.916714977935384128e-06,3.415951928482757208e-06,1.142851462447074368e-06,1.952242123430679979e-06,7.351093332723590356e-08,4.602485322820030899e-09,-1.277865249138871123e-07,2.470556073122636088e-07,-7.788781569445452974e-09,-7.949965379931200013e-08,-8.986510668022056533e-07,-1.400866555539248617e-06
1.567562138687179264e-07,2.523566558952186270e-08,-4.351875480183029200e-07,3.415951928482756785e-06,1.430904655522983829e-05,5.232941247238858767e-06,9.861519115759024884e-07,2.255815334494727408e-08,-4.247995865931859469e-08,-4.805605441835850983e-07,3.383025246771981321e-07,1.189953656270480899e-07,-1.133951660715438411e-07,5.612340252861981744e-06,-6.034282408105429880e-06
5.321537008244842937e-08,1.836673902526958799e-08,-1.880149796811532803e-07,1.142851462447074368e-06,5.232941247238859614e-06,2.054582191193838486e-06,3.087357358254216800e-07,-4.478409455334107553e-09,-2.483811591512270060e-08,-1.505268511184927069e-07,1.645615122793975678e-07,4.389132140521060817e-08,-3.205447227042004813e-08,1.832447893622609881e-06,-2.532797177615460861e-06
3.007205318788416973e-08,-7.693659455723225346e-09,9.312184161177969460e-08,1.952242123430679979e-06,9.861519115759027002e-07,3.087357358254216800e-07,1.094469843389991378e-06,4.681343276732185538e-08,-1.122670840901087577e-09,-3.242535020174773004e-08,1.081980627256885958e-07,1.495063884503519995e-08,-3.459633500008725612e-08,-1.154616912383657294e-06,-1.982993679775398420e-07
1.319881807955907784e-08,-1.742362516345510497e-08,1.372387384747533028e-08,7.351093332723590356e-08,2.255815334494727408e-08,-4.478409455334114171e-09,4.681343276732186862e-08,3.644620758747129042e-07,-1.748890103089315457e-09,3.058865684672670481e-08,3.481065549581719335e-08,2.111900444696113792e-08,1.553338029429560168e-08,3.535111703638091636e-08,-2.409924081740491929e-08
5.529629489953543122e-09,-2.095994249606620639e-09,1.194396688476588777e-08,4.602485322820032554e-09,-4.247995865931859469e-08,-2.483811591512271384e-08,-1.122670840901093161e-09,-1.748890103089317525e-09,3.603010723506193768e-07,-3.115084239687722928e-08,-3.509654717123421961e-08,2.227003131433917537e-09,-3.947987404507117041e-09,-1.834096511743445836e-07,3.672619836616145908e-07
6.335331738115459243e-08,1.012117882112735406e-07,6.119650801133468123e-08,-1.277865249138871652e-07,-4.805605441835849924e-07,-1.505268511184927598e-07,-3.242535020174769695e-08,3.058865684672669820e-08,-3.115084239687723589e-08,2.930286776613502596e-06,3.757646588911831966e-09,3.859496600956305979e-08,6.805139092501192892e-08,-2.119811775139275147e-06,3.842013214215662201e-07
-4.125772064634310967e-08,-4.866834215231870487e-08,-1.301156279986190443e-07,2.470556073122636617e-07,3.383025246771981321e-07,1.645615122793975414e-07,1.081980627256886223e-07,3.481065549581718673e-08,-3.509654717123422622e-08,3.757646588911822867e-09,2.787057590509803366e-06,2.788158996292577764e-08,-4.513190577586466618e-08,-3.809451056597962196e-07,-2.830685505815101603e-06
4.977622829278770519e-07,-2.085740680495692289e-08,-1.486053005226975525e-08,-7.788781569445462900e-09,1.189953656270481164e-07,4.389132140521061479e-08,1.495063884503519995e-08,2.111900444696113792e-08,2.227003131433921673e-09,3.859496600956305979e-08,2.788158996292577764e-08,4.877750974120178886e-07,1.037463533606330269e-08,-9.535517605283792755e-08,-9.428713620692074514e-08
1.321743136387176546e-08,3.882981483726704174e-07,-3.649348850566098901e-09,-7.949965379931200013e-08,-1.133951660715438146e-07,-3.205447227042004152e-08,-3.459633500008726273e-08,1.553338029429560499e-08,-3.947987404507119522e-09,6.805139092501192892e-08,-4.513190577586467942e-08,1.037463533606330269e-08,4.116892850877439342e-07,-9.932786463762425818e-08,1.251498356409019103e-07
-2.786790499657254996e-07,-1.710535331683387367e-07,2.566186955988298558e-07,-8.986510668022058651e-07,5.612340252861981744e-06,1.832447893622610093e-06,-1.154616912383657294e-06,3.535111703638091636e-08,-1.834096511743445571e-07,-2.119811775139275147e-06,-3.809451056597961666e-07,-9.535517605283788785e-08,-9.932786463762425818e-08,4.349539168689057979e-05,-5.500260680655283506e-06
-3.703011876821051554e-08,1.317908898676355014e-07,1.887306799118319609e-06,-1.400866555539248194e-06,-6.034282408105429880e-06,-2.532797177615461285e-06,-1.982993679775399214e-07,-2.409924081740474393e-08,3.672619836616146967e-07,3.842013214215661672e-07,-2.830685505815100756e-06,-9.428713620692078485e-08,1.251498356409019103e-07,-5.500260680655283506e-06,3.072017362282101935e-05
